Готово. Перетащи Codex Notifier.app в Applications и запусти.	Done. Move Codex Notifier.app to Applications and launch it.
Разрешить управление Codex…	Allow Accessibility access…
Запускать при входе в macOS	Launch at login
Запускать вместе с Windows	Launch with Windows
Сохранить и начать	Save and start
Открывать чат автоматически	Open task automatically
Если уведомление осталось без ответа	If the notification has not been acknowledged
Вставлять для проверки	Insert for review
Отправлять сразу	Send immediately
Визуальный стиль уведомлений	Notification appearance
Развернуть большую карточку	Expand notification
Развернуть уведомление	Expand notification
Свернуть уведомление	Collapse notification
Увидел: закрыть уведомление	Dismiss notification
Развернуть превью	Expand preview
Свернуть превью	Collapse preview
Показать уведомление	Show notification
Проверить уведомление	Test notification
Проверка уведомления	Notification test
Подключиться заново	Reconnect
Настрой под себя	Make it yours
Размер уведомления	Notification size
Как на устройстве	Follow system
Звуковой сигнал	Play a sound
Изменения сразу видны здесь	Your changes appear here
Настройки — Codex Notifier	Settings — Codex Notifier
Codex ждёт тебя	Codex is waiting for you
Ответ в Codex готов	Your Codex reply is ready
Тестовый ответ: «	Test reply: «
». Сообщение не отправлено.	». No message was sent.
 · демонстрация, сообщение не отправлено	 · preview, no message sent
До открытия чата: 	Opening task in: 
 сек.	 sec.
 — выполнение остановлено	 — stopped
 — остановлено	 — stopped
БЫСТРЫЕ ОТВЕТЫ	QUICK REPLIES
ПЕРВЫЙ ЗАПУСК	FIRST RUN
КОГДА ОТВЕТ ГОТОВ	WHEN A REPLY IS READY
ВНЕШНИЙ ВИД	APPEARANCE
ПРЕДПРОСМОТР	PREVIEW
НАСТРОЙКИ	SETTINGS
ЗАПУСК	STARTUP
Быстрые ответы	Quick replies
Когда ответ готов	When a reply is ready
Внешний вид	Appearance
Открыть чат	Open task
Ответ готов	Reply ready
Маленькая	Small
Большая	Large
Светлая	Light
Тёмная	Dark
Настройки	Settings
Сохранить	Save
Свернуть	Collapse
Увидел	Got it
Открыть	Open
Пауза	Pause
Выход	Quit
включён	enabled
пауза	paused
Задача 	Task 
По нажатию	Manual
Тема	Theme
Размер	Size
Через	After
Режим	Mode
Запуск	Startup
15 секунд	15 seconds
30 секунд	30 seconds
1 минуту	1 minute
Проверка логики…	Checking core logic…
Сборка для 	Building for 
Тест: 	Test: 
Отправить	Send
Вставить	Insert
 · демонстрация	 · preview
Дальше с изменением	Continue with changes
Дальше ещё	Continue with changes
Дальше	Continue
Делай	Do it
Да	Yes
отменено	cancelled
